,Velocity,Power,Position,Diameter
0,0.009818629,17.2,On,60r
1,0.013621264,17.2,On,60r
2,0.013347675,17.2,On,60r
3,0.004155283,17.2,On,60r
4,0.016655946,17.2,On,60r
5,0.189966893,17.2,On,60r
6,0.005425718,17.2,On,60r
7,0.154076298,17.2,On,60r
8,0.116510908,17.2,On,60r
9,2.072567363,17.2,On,60r
10,0.011404493,17.2,On,60r
11,2.26367014,17.2,On,60r
12,0.013081439,17.2,On,60r
13,0.006292382,17.2,On,60r
14,0.645084258,17.2,On,60r
15,0.006724483,17.2,On,60r
16,0.060672975,17.2,On,60r
17,0.006727772,17.2,On,60r
18,0.0063987,17.2,On,60r
19,0.007598867,17.2,On,60r
20,0.763959064,17.2,On,60r
21,1.341191266,17.2,On,60r
22,0.017034085,17.2,On,60r
23,0.002234544,17.2,On,60r
24,0.105061167,17.2,On,60r
25,1.249415584,17.2,On,60r
26,0.286570277,17.2,On,60r
27,0.000198689,17.2,On,60r
28,0.937447266,17.2,On,60r
29,0.421698681,17.2,On,60r
30,0.006649971,17.2,On,60r
31,0.380812998,17.2,On,60r
32,0.306413959,17.2,On,60r
33,0.010974124,17.2,On,60r
34,0.924739215,17.2,On,60r
35,1.127753283,17.2,On,60r
36,0.012627571,17.2,On,60r
37,0.01513628,17.2,On,60r
38,0.00465195,17.2,On,60r
39,2.675596843,17.2,On,60r
40,1.167809745,17.2,On,60r
41,1.010453018,17.2,On,60r
42,2.092164187,17.2,On,60r
43,0.420717579,17.2,On,60r
44,0.021200199,17.2,On,60r
45,0.007296332,17.2,On,60r
46,1.644720924,17.2,On,60r
47,0.013093469,17.2,On,60r
48,0.01446245,17.2,On,60r
49,2.554078839,17.2,On,60r
50,0.002058104,17.2,On,60r
51,0.035718759,17.2,On,60r
52,0.116091162,17.2,On,60r
53,1.241427998,17.2,On,60r
54,0.487380313,17.2,On,60r
55,0.122159295,17.2,On,60r
56,1.729711909,17.2,On,60r
57,0.003455759,17.2,On,60r
58,0.005916538,17.2,On,60r
59,1.59663171,17.2,On,60r
60,0.008697138,17.2,On,60r
61,0.035152253,17.2,On,60r
62,1.639444204,17.2,On,60r
63,0.020332202,17.2,On,60r
64,2.245897476,17.2,On,60r
65,1.373462275,17.2,On,60r
66,2.454885882,17.2,On,60r
67,0.019955256,17.2,On,60r
68,0.331410265,17.2,On,60r
69,0.121127631,17.2,On,60r
70,0.538650779,17.2,On,60r
71,1.703657012,17.2,On,60r
72,0.021223933,17.2,On,60r
73,0.005162079,17.2,On,60r
74,0.083669366,17.2,On,60r
75,0.006547942,17.2,On,60r
76,0.115621093,17.2,On,60r
77,0.003801267,17.2,On,60r
78,0.006917806,17.2,On,60r
79,0.006519801,17.2,On,60r
80,0.020280453,17.2,On,60r
81,1.13801763,17.2,On,60r
82,0.038481322,17.2,On,60r
83,2.678893918,17.2,On,60r
84,0.00951961,17.2,On,60r
85,1.307420558,17.2,On,60r
86,0.898351164,17.2,On,60r
87,0.170725711,17.2,On,60r
88,1.754005218,17.2,On,60r
89,0.205503487,17.2,On,60r
90,2.446468145,17.2,On,60r
91,0.578582665,17.2,On,60r
92,0.154297544,17.2,On,60r
93,0.020270717,17.2,On,60r
94,1.633163398,17.2,On,60r
95,0.034509849,17.2,On,60r
96,0.695772744,17.2,On,60r
97,0.054369711,17.2,On,60r
98,0.733526856,17.2,On,60r
99,0.053132808,17.2,On,60r
100,0.330576931,17.2,On,60r
101,0.967919918,17.2,On,60r
102,1.581162894,17.2,On,60r
103,0.41003503,17.2,On,60r
104,1.042293374,17.2,On,60r
105,0.020789444,17.2,On,60r
106,0.364165587,17.2,On,60r
107,0.529575465,17.2,On,60r
108,0.857829228,17.2,On,60r
109,0.33484405,17.2,On,60r
110,0.83229481,17.2,On,60r
111,0.435479951,17.2,On,60r
112,0.751474378,17.2,On,60r
113,0.07084503,17.2,On,60r
114,1.696053775,17.2,On,60r
115,0.175320094,17.2,On,60r
116,0.466930767,17.2,On,60r
117,3.665360099,17.2,On,60r
118,1.92463026,17.2,On,60r
119,1.438092671,17.2,On,60r
120,0.318291137,17.2,On,60r
121,0.119928749,17.2,On,60r
122,1.33041518,17.2,On,60r
123,1.910226262,17.2,On,60r
124,0.299984235,17.2,On,60r
125,0.387253404,17.2,On,60r
126,0.299164487,17.2,On,60r
127,2.523920287,17.2,On,60r
128,0.333051665,17.2,On,60r
129,0.195773929,17.2,On,60r
130,1.337727532,17.2,On,60r
131,1.537000678,17.2,On,60r
132,1.292638788,17.2,On,60r
133,3.992359094,17.2,On,60r
134,2.371610302,17.2,On,60r
135,0.422938082,17.2,On,60r
136,0.022881715,17.2,On,60r
137,0.403996343,17.2,On,60r
138,0.112924551,17.2,On,60r
139,0.474564714,17.2,On,60r
140,0.586245411,17.2,On,60r
141,0.856060756,17.2,On,60r
142,0.346306153,17.2,On,60r
143,0.812781422,17.2,On,60r
144,1.655357162,17.2,On,60r
145,3.501487722,17.2,On,60r
146,1.05749047,17.2,On,60r
147,1.013271318,17.2,On,60r
148,0.779315066,17.2,On,60r
149,0.43334061,17.2,On,60r
150,0.040310135,17.2,On,60r
151,3.260120509,17.2,On,60r
152,0.0468001,17.2,On,60r
153,1.316600648,17.2,On,60r
154,0.838170453,17.2,On,60r
155,0.648447159,17.2,On,60r
156,0.068474328,17.2,On,60r
157,0.95182945,17.2,On,60r
158,0.345816926,17.2,On,60r
159,2.889177732,17.2,On,60r
160,0.659641818,17.2,On,60r
161,1.631379365,17.2,On,60r
162,0.240328683,17.2,On,60r
163,0.100097418,17.2,On,60r
164,2.323320197,17.2,On,60r
165,1.506565593,17.2,On,60r
166,1.264248356,17.2,On,60r
167,0.478715613,17.2,On,60r
168,0.556849338,17.2,On,60r
169,2.682851089,17.2,On,60r
170,0.598240988,17.2,On,60r
171,0.010341294,17.2,On,60r
172,0.531390223,17.2,On,60r
173,0.094019942,17.2,On,60r
174,2.874783533,17.2,On,60r
175,0.649090593,17.2,On,60r
176,2.825370678,17.2,On,60r
177,0.392248933,17.2,On,60r
178,2.12232417,17.2,On,60r
179,0.378594796,17.2,On,60r
180,2.573316161,17.2,On,60r
181,0.683728668,17.2,On,60r
182,1.009512048,17.2,On,60r
183,2.009096769,17.2,On,60r
184,0.359356905,17.2,On,60r
185,0.216693205,17.2,On,60r
186,0.479728372,17.2,On,60r
187,3.144381606,17.2,On,60r
188,2.446660844,17.2,On,60r
189,0.213102921,17.2,On,60r
190,0.166137215,17.2,On,60r
191,0.360840115,17.2,On,60r
192,0.835638728,17.2,On,60r
193,2.444050591,17.2,On,60r
194,0.032331075,17.2,On,60r
195,0.039193467,17.2,On,60r
196,0.211302298,17.2,On,60r
197,1.064595219,17.2,On,60r
198,0.919512186,17.2,On,60r
199,1.098169588,17.2,On,60r
200,0.993363132,17.2,On,60r
201,1.788612939,17.2,On,60r
202,0.108956646,17.2,On,60r
203,0.78134755,17.2,On,60r
204,0.359267262,17.2,On,60r
205,2.929698865,17.2,On,60r
206,0.399255783,17.2,On,60r
207,0.80064451,17.2,On,60r
208,1.600168064,17.2,On,60r
209,0.13691538,17.2,On,60r
210,0.287789451,17.2,On,60r
211,0.098775707,17.2,On,60r
212,1.46050418,17.2,On,60r
213,0.532062701,17.2,On,60r
214,0.855885299,17.2,On,60r
215,0.919650109,17.2,On,60r
216,0.201549423,17.2,On,60r
217,0.66540397,17.2,On,60r
218,1.842566659,17.2,On,60r
219,1.650825808,17.2,On,60r
220,1.039863025,17.2,On,60r
221,1.730035898,17.2,On,60r
222,0.569418921,17.2,On,60r
223,0.343823103,17.2,On,60r
224,1.35483102,17.2,On,60r
225,1.884648343,17.2,On,60r
226,0.585722473,17.2,On,60r
227,1.525284904,17.2,On,60r
228,0.028400356,17.2,On,60r
229,1.880209685,17.2,On,60r
230,0.235335958,17.2,On,60r
231,2.032373146,17.2,On,60r
232,0.504763084,17.2,On,60r
233,0.491248581,17.2,On,60r
234,0.058765829,17.2,On,60r
235,0.14253251,17.2,On,60r
236,1.431203398,17.2,On,60r
237,0.16231391,17.2,On,60r
238,1.814554142,17.2,On,60r
239,0.113093377,17.2,On,60r
240,0.204589513,17.2,On,60r
241,0.989440764,17.2,On,60r
242,0.273456376,17.2,On,60r
243,0.237561132,17.2,On,60r
244,0.791119605,17.2,On,60r
245,3.785134749,17.2,On,60r
246,0.522641998,17.2,On,60r
247,1.664647856,17.2,On,60r
248,2.557108599,17.2,On,60r
249,0.556449957,17.2,On,60r
250,0.205106463,17.2,On,60r
251,1.559154593,17.2,On,60r
